raw_text,aspectTerms
I like that the teacher gave us advice on how to improve our projects and taught us to really understand lessons.,"[{'term': 'None', 'polarity': 'neutral'}]"
Love the way u taught.,"[{'term': 'None', 'polarity': 'neutral'}]"
Explain both Thai and English. Covering the whole lesson. Thank you very much.,"[{'term': 'None', 'polarity': 'neutral'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'None', 'polarity': 'neutral'}]"
I want [instructor] to speak clearly,"[{'term': 'None', 'polarity': 'neutral'}]"
"Deciding to host onsite classes and her only appearing in online meetings is one of the worst experiences I have ever felt, sure, [instructor] may have health issues but could have hosted online classes. To add an insult to injury, [instructor] expresses dislike to many students because nobody listens to [instructor], but we do have a defense, there's nothing but [instructor] just reading things on the presentation slides so how could we stay focused on what is literally right there in the slide itself? While I do not like to say that [instructor] is redundant and useless, I and many others share the same opinion that there is almost nothing of value in really being engaged in [instructor] class, we have many other things that are important to deal with.","[{'term': 'None', 'polarity': 'negative'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'None', 'polarity': 'neutral'}]"
"Giving assignments every week and group projects almost every week is too excessive, there is too much workload and those assignments are not really helpful for studying the course in my opinion. The group report may be a bit too harsh on minimum pages when there are not enough requirements on what content should be in report.","[{'term': 'None', 'polarity': 'neutral'}]"
Thank you for teaching this good.,"[{'term': 'None', 'polarity': 'positive'}]"
Many workloads,"[{'term': 'None', 'polarity': 'neutral'}]"
"I was also not able to memorize the whole structure and find myself very struggling with the subject. However, one night, through my compassion and a liter of coffee, I decided to revise the material from [course]  from last semester from the beginning focusing on how [topic] works. I find that it is easier for me to study [course] knowing what and how data was sent from each layer.","[{'term': 'None', 'polarity': 'positive'}]"
Would like to have a link that can write and edit the group listSo that some students who do not have a group can know that there are no groups and request to join the group with other groups.,"[{'term': 'None', 'polarity': 'negative'}]"
"I appreciate your teaching! and everything, thanks for teaching us!","[{'term': 'None', 'polarity': 'neutral'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'None', 'polarity': 'neutral'}]"
"The project shouldn't assign to students during examination week because we have to rest and review the lecture. So, we cannot fully focus on the project.","[{'term': 'None', 'polarity': 'neutral'}]"
This course is good. The children should study.,"[{'term': 'None', 'polarity': 'neutral'}]"
The teacher gives a snack when resting during the class and asking students if they can do it or not.Master cares well.,"[{'term': 'None', 'polarity': 'neutral'}]"
Too much works,"[{'term': 'None', 'polarity': 'neutral'}]"
Many workloads,"[{'term': 'None', 'polarity': 'negative'}]"
Your teaching styles were easy to understand. (:D),"[{'term': 'None', 'polarity': 'neutral'}]"
"I think that the instructor should explain the content in more detail because I was not able to understand several parts of the lectures. Also, I had trouble understanding the content in the slides because the connection between the topics in the slides is not clear and the explanation for several parts is complicated. Each slide introduced a new topic, and I was unable to see the overall picture of the topics and how this slide is related to the previous or the next. Also, as for the explanations, the way that the content is explained is quite confusing and give a clear explanation of the content. Several parts were standalone sentences that were difficult to connect with what the topic is about and the other parts of the explanation. I had to do quite extensive external learning through several websites on the internet to understand several parts of the lectures because I could not understand the explanations provided in the slides. I would like the slides to be better organized and the explanations of the content, both in the slides and when the instructor explains the content, to be clearer and more easily understandable.","[{'term': 'None', 'polarity': 'neutral'}]"
"He didn’t clear to assign homework, and he never adapt himself. i commented he in [subject] in the same problem.","[{'term': 'None', 'polarity': 'negative'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'None', 'polarity': 'negative'}]"
The teacher gives a snack when resting during the class and asking students if they can do it or not.Master cares well.,"[{'term': 'None', 'polarity': 'neutral'}]"
Remove this subject,"[{'term': 'None', 'polarity': 'neutral'}]"
Aj. is very nice. You made us feel comfortable asking. Thank you.,"[{'term': 'None', 'polarity': 'positive'}]"
"For 1.2, I think you should provide the link to the video you opened during the class because they are pdf files and we can see only the image. Another thing is the activity document, you should check [software] is same as schematic or not.","[{'term': 'None', 'polarity': 'negative'}]"
The content at some point is still teaching and does not understand.,"[{'term': 'None', 'polarity': 'neutral'}]"
TA is very efficient.,"[{'term': 'None', 'polarity': 'neutral'}]"
"Professor received homework in class, so when i get sick i cannot sent the homework properly. I think ajarn should use [software] to sent the homework. It does not make sense that student must send the homework without using [system] while in online session student can send the assignment with tools.","[{'term': 'None', 'polarity': 'neutral'}]"
Would like the teacher to speak clearlyAnd there are indicators of the details of both the Assignment and the scores of that work.,"[{'term': 'None', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'None', 'polarity': 'positive'}]"
"I think the lesson is too hard for me to absorb, however, I will try my best to understand those things!","[{'term': 'None', 'polarity': 'negative'}]"
Aj. is very nice. You made us feel comfortable asking. Thank you.,"[{'term': 'None', 'polarity': 'neutral'}]"
I really like how [instructor] listens to [instructor] students and adaptable,"[{'term': 'None', 'polarity': 'positive'}]"
Would like to have various assignments in [System] or [Sytem].,"[{'term': 'None', 'polarity': 'neutral'}]"
too much unnecessary work,"[{'term': 'None', 'polarity': 'negative'}]"
The teacher should have more time to check the name.,"[{'term': 'None', 'polarity': 'neutral'}]"
The job details are not clear.There is almost every mistake because the teacher speaks quite softly and is difficult to listen.,"[{'term': 'None', 'polarity': 'negative'}]"
Would like the teacher to help focus more on the child behind the roomWould like to teach more slowly for all students to have more efficiency,"[{'term': 'None', 'polarity': 'negative'}]"
TA is very efficient.,"[{'term': 'None', 'polarity': 'neutral'}]"
"Advanced topic in [course], and [topic] is very difficult.","[{'term': 'None', 'polarity': 'neutral'}]"
"I would like the instructor to understand that the method of learning which [instructor] teach is not give student enough understanding for most of student in the class. Even thought some student can implement the project as the requirement, it is because he/she have to seek more knowledge outside the class as instructor may have to consider why most of the student in the class cannot reach the requirement of the project, why they cannot delivered the project which using only the knowledge they learned in the class should be enough. As a result, I would love to let the instructor and faculty know that [instructor] is a kind, good person, and [instructor] can give a good advise with a good intention, but sometime it required morethan that to make the good class.","[{'term': 'None', 'polarity': 'neutral'}]"
"he is a kind person and can be a good advisor, however he is not a good instructor at all since he cannot delivered the knowledge in the class to make the student understand.","[{'term': 'None', 'polarity': 'neutral'}]"
maybe he is good in teaching in Thai language morethan explains things in english.,"[{'term': 'None', 'polarity': 'neutral'}]"
I think changing to other studies should be more useful (such as [Course] etc.),"[{'term': 'None', 'polarity': 'neutral'}]"
"I feel too cruel and there is an inappropriate comment.Such as showing children's work and comparing with other studentsAlso, there is no confusion in order to change the Instructor on the last day before sending.I can't manage time.","[{'term': 'None', 'polarity': 'negative'}]"
Too much works,"[{'term': 'None', 'polarity': 'neutral'}]"
I want to thank you for every time Ajarn gives me advice. you are the best!,"[{'term': 'None', 'polarity': 'positive'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'None', 'polarity': 'neutral'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'None', 'polarity': 'neutral'}]"
"Ajarn releases the project 2 very late, but it should be releases at the beginning of November in syllabus. That is very little time to do the project.","[{'term': 'None', 'polarity': 'negative'}]"
Like in the entry of the work of the instructorThe teacher uses a variety of boring tones and teaching.Makes me feel that this course is worth studyingAs well as allowing students to participate in the opinion or have reaction,"[{'term': 'None', 'polarity': 'positive'}]"
Thank you for teaching us and giving us advice. I'm truly grateful. I hope you all the best!,"[{'term': 'None', 'polarity': 'neutral'}]"
This course is good. The children should study.,"[{'term': 'None', 'polarity': 'positive'}]"
Do not want to have a news event,"[{'term': 'None', 'polarity': 'neutral'}]"
continue with this teaching method,"[{'term': 'None', 'polarity': 'neutral'}]"
Too many work and must be sent within one day.,"[{'term': 'None', 'polarity': 'neutral'}]"
Please record lectures online,"[{'term': 'None', 'polarity': 'neutral'}]"
"It's difficult install [software] on Unix based devices, especially with the modern ARM processors, [software] only supports the x86_64 architecture. I think there are plenty of alternatives that natively support both x86_64 and arm64 chipsets (maybe the ones that are web based or written in java), as running Netica through emulation causes the program to be unstable and crashes alot (Tested on x86_64 Suse Tumbleweed and arm64 Windows, there are cases where my friends with m1 macbooks aren't able to install at all).","[{'term': 'None', 'polarity': 'neutral'}]"
I would like teachers to be more flexible about checking attendance classes and grading.,"[{'term': 'None', 'polarity': 'neutral'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'None', 'polarity': 'negative'}]"
We shouldn't have this subject in our faculty from its uselessness,"[{'term': 'None', 'polarity': 'neutral'}]"
"In the part where I didn't understand the coding, I want this course to teach me more clearly about competitive thinking or the process to do before coding, like cutting the problem. However, I also think this course is good for us.","[{'term': 'None', 'polarity': 'neutral'}]"
Love the way u taught.,"[{'term': 'None', 'polarity': 'neutral'}]"
"I like you teaching such as assignments, give us an example.","[{'term': 'None', 'polarity': 'neutral'}]"
The air conditioner in the lab is very cold.Would like the table to be wider than this when placing the box [Course] and the laptop,"[{'term': 'None', 'polarity': 'neutral'}]"
"Change the way U taught, not copy from book. Make it simplify and easy for student to learn.","[{'term': 'None', 'polarity': 'neutral'}]"
There should be more hour studying this course.And there is a problem similar to the exam to practice,"[{'term': 'None', 'polarity': 'neutral'}]"
"I like to study with the teacher very much. I like the accent, like the attention of the teacher.","[{'term': 'None', 'polarity': 'positive'}]"
"Would like the teacher to keep this style indefinitely. I study with the teacher a lot, but have to repeat more knowledge than others","[{'term': 'None', 'polarity': 'neutral'}]"
"Change the way U taught, not copy from book. Make it simplify and easy for student to learn.","[{'term': 'None', 'polarity': 'neutral'}]"
Would like to have more work as a HW than the exam,"[{'term': 'None', 'polarity': 'neutral'}]"
The content in later parts of the course are very hard to understand. I wonder if any of my friends understand 60% of it.,"[{'term': 'None', 'polarity': 'negative'}]"
Sometimes I didn't catch the content if you went too fast.,"[{'term': 'None', 'polarity': 'negative'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'None', 'polarity': 'neutral'}]"
