raw_text,aspectTerms
"I like the teacher very much. I understand. I know about it, but because I am not very practicing so I can't do it.","[{'term': 'motivation', 'polarity': 'negative'}]"
"For 1.2, I think you should provide the link to the video you opened during the class because they are pdf files and we can see only the image. Another thing is the activity document, you should check [software] is same as schematic or not.","[{'term': 'organization', 'polarity': 'neutral'}]"
Want the teacher to pay attention to all students,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I think this course is very good, and I like it so much. Aj teaches and treats very well.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"after midterm with [Instructor] isn't really good, his teaching method is difficult to understands yet he blames students to use ""ears and eyes"" to look and listen. he's not easy to approach.","[{'term': 'motivation', 'polarity': 'negative'}]"
"The workload is simply too much. Having individual assignment every week on top of gorup assignment, every week, is simply just too much considering this term's subjects. Individual homework often consist of having to list the meaning of this amount of words which in my opinion, didn't help me gain knowledge and certainly not [course] knowledge. The assigments or project requirement are sometimes unreasonable. Having the same minimum requirement of pages in phase 2 of the project as phase one is just simply lazy on their part at best and malicious at worst, phase 2 of the project simply has less content than phase 1 by a mile and yet they still expect us to deliver the same amount of pages as phase one. I also have issues with the questions in midterm exam. I can't simply cannot make sense of some of the question they decided to ask us. Why would having us list the tasks of team prject member and rate them test my knowledge of [course]. How would letting us give meaning to some words in an open-book exam benefit us when we do jobs in the future. It also took me almost all of this semester time to just find the meaning and importance of [course] and it's not by the class or exam or project but simply by my own research. Also we do we need to do executive summary and summary to every group assignment when sometimes the content is just half a page.","[{'term': 'instructor', 'polarity': 'neutral'}]"
Would like the teacher to speak clearlyAnd there are indicators of the details of both the Assignment and the scores of that work.,"[{'term': 'instructor', 'polarity': 'negative'}]"
I think that [instructor] accent is hard to understand,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Reduce homework, give more time to do quiz.","[{'term': 'content quality', 'polarity': 'neutral'}]"
Would like the teacher to teach more interesting,"[{'term': 'organization', 'polarity': 'neutral'}]"
Very on time and strict to the point,"[{'term': 'instructor', 'polarity': 'positive'}]"
