raw_text,aspectTerms
"Like, please ask for the quiz at the end of the period.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I think this course is really important for future work. If students can digest the class content, it would be very beneficial for them.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"A fun subject to study, with a reasonable workload.","[{'term': 'content quality', 'polarity': 'neutral'}]"
It would be better if we have the permanent schedule for the class. Separate every class for each section might be more efficient.,"[{'term': 'organization', 'polarity': 'negative'}]"
like the teaching way,"[{'term': 'instructor', 'polarity': 'positive'}]"
"Good course, learning many things, even teammate does not work very well as expected.","[{'term': 'content quality', 'polarity': 'positive'}]"
"It's difficult install [software] on Unix based devices, especially with the modern ARM processors, [software] only supports the x86_64 architecture. I think there are plenty of alternatives that natively support both x86_64 and arm64 chipsets (maybe the ones that are web based or written in java), as running Netica through emulation causes the program to be unstable and crashes alot (Tested on x86_64 Suse Tumbleweed and arm64 Windows, there are cases where my friends with m1 macbooks aren't able to install at all).","[{'term': 'content quality', 'polarity': 'neutral'}]"
continue with this teaching method,"[{'term': 'organization', 'polarity': 'neutral'}]"
Please extend the period assignment deadline by a day.,"[{'term': 'organization', 'polarity': 'negative'}]"
Remove this subject,"[{'term': 'organization', 'polarity': 'neutral'}]"
"For this, I do suggest that the instructor incorporate some tactics for the students to memorize all the [topic], [topic], and [topic] in the [topic].","[{'term': 'motivation', 'polarity': 'neutral'}]"
The number of assignments is quite too much.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Midterm exam has a lot of calculation, I think a calculator should be allowed since we are being tested for our [course] skills and not our calculation skills.","[{'term': 'organization', 'polarity': 'negative'}]"
"I believe that having some short breaks during 3 hours class would not hurt the flow of the class, so I would like to suggest to allow students for some breaks during class.","[{'term': 'organization', 'polarity': 'negative'}]"
"I like the teacher very much. I understand. I know about it, but because I am not very practicing so I can't do it.","[{'term': 'instructor', 'polarity': 'positive'}]"
"He's a good teacher. I see my change, thank you kubb!","[{'term': 'motivation', 'polarity': 'neutral'}]"
I like to study this subject in online form.But don't want to be strictOr accelerating too much of the quiz in the period,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"I like the way you teach us very much, as well as the suggestions and descriptions. That helps us very much to understand each assignment more clearly. Additionally, I see the effort and dedication in teaching. Thank you. I hope to see you next semester!","[{'term': 'motivation', 'polarity': 'positive'}]"
"great teacher, very caring and respectful. unfortunately the classes are usually at the evening of the day. on the other hand, the workloads on other subjects redusce the time we can spend with the study buddies and self-learning significantly","[{'term': 'content quality', 'polarity': 'neutral'}]"
"Teacher doesn’t have responsibility to prepare slide because we waste time for this 1 hr from 1hr 30min. [instructor] didn’t clearly speak in class. i don’t understand anything that he want until i think i weak english skill but when i study in extra class, i will know.","[{'term': 'instructor', 'polarity': 'negative'}]"
"[instructor] teachings are quite confusing, yes, the [course] subject itself is very hard, but [instructor] style of teaching makes it quite hard to understand the meaning, add to that the slides are not quite detailed and vague in meaning. One particular unbelievable moment is giving assignments a week before an exam, yes, the assignment is useful but at least give us that final assignment much earlier than that.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Everything is fantastic except for using the [system] for work.,"[{'term': 'content organization', 'polarity': 'neutral'}]"
