raw_text,aspectTerms
I like that the teacher gave us advice on how to improve our projects and taught us to really understand lessons.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
Love the way u taught.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Explain both Thai and English. Covering the whole lesson. Thank you very much.,"[{'term': 'organization', 'polarity': 'neutral'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'motivation', 'polarity': 'neutral'}]"
I want [instructor] to speak clearly,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Deciding to host onsite classes and her only appearing in online meetings is one of the worst experiences I have ever felt, sure, [instructor] may have health issues but could have hosted online classes. To add an insult to injury, [instructor] expresses dislike to many students because nobody listens to [instructor], but we do have a defense, there's nothing but [instructor] just reading things on the presentation slides so how could we stay focused on what is literally right there in the slide itself? While I do not like to say that [instructor] is redundant and useless, I and many others share the same opinion that there is almost nothing of value in really being engaged in [instructor] class, we have many other things that are important to deal with.","[{'term': 'motivation', 'polarity': 'negative'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"Giving assignments every week and group projects almost every week is too excessive, there is too much workload and those assignments are not really helpful for studying the course in my opinion. The group report may be a bit too harsh on minimum pages when there are not enough requirements on what content should be in report.","[{'term': 'motivation', 'polarity': 'neutral'}]"
Thank you for teaching this good.,"[{'term': 'instructor', 'polarity': 'positive'}]"
Many workloads,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"I was also not able to memorize the whole structure and find myself very struggling with the subject. However, one night, through my compassion and a liter of coffee, I decided to revise the material from [course]  from last semester from the beginning focusing on how [topic] works. I find that it is easier for me to study [course] knowing what and how data was sent from each layer.","[{'term': 'motivation', 'polarity': 'positive'}]"
Would like to have a link that can write and edit the group listSo that some students who do not have a group can know that there are no groups and request to join the group with other groups.,"[{'term': 'organization', 'polarity': 'negative'}]"
"I appreciate your teaching! and everything, thanks for teaching us!","[{'term': 'organization', 'polarity': 'neutral'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"The project shouldn't assign to students during examination week because we have to rest and review the lecture. So, we cannot fully focus on the project.","[{'term': 'instructor', 'polarity': 'neutral'}]"
This course is good. The children should study.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
The teacher gives a snack when resting during the class and asking students if they can do it or not.Master cares well.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Too much works,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Many workloads,"[{'term': 'organization', 'polarity': 'negative'}]"
Your teaching styles were easy to understand. (:D),"[{'term': 'content quality', 'polarity': 'neutral'}]"
"I think that the instructor should explain the content in more detail because I was not able to understand several parts of the lectures. Also, I had trouble understanding the content in the slides because the connection between the topics in the slides is not clear and the explanation for several parts is complicated. Each slide introduced a new topic, and I was unable to see the overall picture of the topics and how this slide is related to the previous or the next. Also, as for the explanations, the way that the content is explained is quite confusing and give a clear explanation of the content. Several parts were standalone sentences that were difficult to connect with what the topic is about and the other parts of the explanation. I had to do quite extensive external learning through several websites on the internet to understand several parts of the lectures because I could not understand the explanations provided in the slides. I would like the slides to be better organized and the explanations of the content, both in the slides and when the instructor explains the content, to be clearer and more easily understandable.","[{'term': 'motivation', 'polarity': 'neutral'}]"
"He didn’t clear to assign homework, and he never adapt himself. i commented he in [subject] in the same problem.","[{'term': 'organization', 'polarity': 'negative'}]"
1.2 hours of consecutive studying is too much for me to stay focused. I prefer 2 breaks during a class like [course].,"[{'term': 'organization', 'polarity': 'negative'}]"
The teacher gives a snack when resting during the class and asking students if they can do it or not.Master cares well.,"[{'term': 'organization', 'polarity': 'neutral'}]"
Remove this subject,"[{'term': 'motivation', 'polarity': 'neutral'}]"
Aj. is very nice. You made us feel comfortable asking. Thank you.,"[{'term': 'instructor', 'polarity': 'positive'}]"
"For 1.2, I think you should provide the link to the video you opened during the class because they are pdf files and we can see only the image. Another thing is the activity document, you should check [software] is same as schematic or not.","[{'term': 'content quality', 'polarity': 'negative'}]"
The content at some point is still teaching and does not understand.,"[{'term': 'organization', 'polarity': 'neutral'}]"
TA is very efficient.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
